
अंकल (m)	 uncle
अंग्रेज़ (m)	 English person
अंत (m)	 end
अंदर	 inside; within
अँधेरा (m)	 darkness
अकेला	 alone (adj); अकेले (adv)
अकेलापन (m)	 loneliness
अक्सर	 often; usually
अख़बार (m)	 newspaper
अगर	 if
अगला	 next
अगस्त (m)	 August
अचानक	 suddenly; unexpectedly
अच्छा	 good; nice; really?! see! well; proficiently
अजनबी (m)	 stranger
अजीब	 strange; odd
अठारह	 eighteen
अद्भुत	 remarkable
अधिक	 much; many; more
अधेड़	 middle aged
अध्यापक (m)	 teacher
अनबन (f)	 discord
अंतर (m)	 difference
अनुपस्थित	 absent
अनुभव (m)	 experience
अनुवाद (m)	 translation
अनौपचारिक रूप से	 informally
अपना	(one's) own
अफ़सोस (m)	 regret
अब	 now
अभी	 at the moment; right now; still
अभ्यास (m)	 practice
अमरीकन	 American
अमरीका (m)	 America
अमीर	 rich; wealthy
अरे	 oh! what! hey!
अर्ज़ी (f)	 application
अर्थ (m)	 meaning
अलग	 separate; different
अलमारी (f)	 cupboard
अवकाश (m)	 leisure; free time
अवश्य	 certainly
असंभव	 impossible
असर (m)	 effect; impact
असल में	 really; in fact
असली	 real
अस्पताल (m)	 hospital
आँख (f)	 eye
आँखें दिखाना	 to look angrily
आकाश (m)	 sky
आख़िर (m)	 end
आख़िर में	 in the end; after all
आग (f)	 fire
आगरा (m)	 Agra
आगे	 later; ahead
आगे चलकर	 in future; from now on
आज	 today
आजकल	 nowadays
ऑटो (m)	 auto-rickshaw
आठ	 eight
आठों पहर	 all day
आत्मीयता से	 cordially
आदमी (m)	 man; person
आधा	 half
आधीरात (f)	 midnight
आनंद (m)	 joy; enjoyment
आनंद आना	 to feel enjoyment
आना	 to come
आप	 you (formal)
आपका	 your; yours
आपस में	 between/among themselves
आफ़ताब (m)	 sun (poetic)
आबादी (f)	 population; settlement
आम (m)	 mango
आम	 ordinary; general
आम तौर पर	 usually; normally
आरंभ (m)	 beginning
आराम (m)	 rest; comfort
आराम करना	 to rest
आर्थिक	 financial
आलसी	 lazy
आवश्यकता (f)	 necessity
आवाज़ (f)	 voice; sound
आशा (f)	 hope
आश्चर्य (m)	 surprise
आश्चर्यजनक	 astonishing
आसान	 easy
आसानी से	 easily
इंतज़ाम (m)	 arrangement(s); organization
इंतज़ार (m)	 wait; waiting
इकलौता	 sole; only (child)
इक्कीस	 twenty-one
इतना	 so; so much
इतिहास (m)	 history
इधर	 here; over here; recently; lately
इन	 oblique of ये
इंकार करना	 to refuse
इंसान (m)	 human being; person
इमारत (f)	 building
इरादा (m)	 intention
इलाका (m)	 area
इलाज (m)	 treatment; cure
इलाहाबाद (m)	 Allahabad
इश्क़ (m)	 romantic love
इश्क़ लड़ाना	 to have an affair
इस	 oblique of यह
इस लि	 so
इसी लिए	that's why
इस्त्री (f)	 clothes iron; ironing
इस्तेमाल (m)	 use
का इस्तेमाल करना	 to use
ईंट (f)	 brick
ई-पत्र (m)	 email
ई-मेल (f)	 email
ईव-टीज़िंग (f)	'Eve teasing' (sexual harassment of girls and women)
ऊँगली (f)	 finger
उचित	 proper; appropriate
उच्चारण (m)	 pronunciation
उठना	 to get up; rise
उठाना	 to pick up; lift; to take (तकलीफ़/trouble etc.)
उड़ना	 to fly
उड़ाना	 to make fly; to squander
उतरना	 to get down; alight
उतारना	 to take down/off
उत्तर (m)	 reply
उदाहरण (m)	 example
उद्घाटन (m)	 inauguration
उधर	 there; over there
उधार (m)	 loan
उधार लेना	 to borrow
उन	 oblique of वे
उन्नीस	 nineteen
उपन्यास (m)	 novel
उपहार (m)	 present; gift
उबलना	 to boil; to rage
उम्मीद (f)	 hope
उम्र (f)	 age
उर्दू (f)	 Urdu
उल्लू (m)	 owl (idiot)
उषा (f)	 dawn
उस	 oblique of वह
ऊँचा	 high
ऊपर	 above; up; upstairs
ऊबना	 to be bored
ऊल-जलूल	 silly; pointless
ऋषि (m)	 sage; seer
एक	 one
एक साथ	 together
एकदम	 completely
एकाध	 one or two; a couple (of)
ऐनक (f)	 spectacles
ऐश (m)	 wanton luxury
ऐश करना	 to live a life of pleasure
ऐसा	 such; thus; like this
ओ	 oh
ओहो	 oho! oh no!
औपचारिक रूप से	 formally
और	 and; more; else; other
और कोई	 any other
औरत (f)	 woman
कंजूस	 miserly; mean
कंपनी (f)	 company; firm
कंप्यूटर (m)	 computer
कंबल (m)	 blanket
कई	 several
कटना	 to be cut
कठिन	 hard; difficult
कथक (m)	 kathak (a North Indian dance style)
कदम (m)	 step; pace
कपड़ा (m)	 cloth; garment
कब	 when?
कब से	 since when?
कभी	 sometime
कभी कभी	 sometimes
कभी नहीं	 never
कम	 less; little
कम करना	 to reduce
कम से कम	 at least
कमरा (m)	 room
कमाना	 to earn
कमाल (m)	 miracle; wonder
कमी (f)	 lack; want
करना	 to do
करीब	 near; about; roughly
करोड़ (m)	 ten million
कल	 yesterday; tomorrow
कलकत्ता (m)	 Calcutta
क़लम (f)	 pen
कवि (m)	 poet
कविता (f)	 poem; poetry
कष्ट (m)	 trouble; distress
क़सम (f)	 oath
क़सूर (m)	 fault; error
कहना	 to say (to); to call
कहाँ	 where?
कहानी (f)	 story
कहीं	 somewhere; somehow
कहीं और	 somewhere else
कहीं का	 complete; utter (in insult)
कहीं ज़्यादा	 particularly
कहीं न कहीं	 somewhere or other
कहीं नहीं	 nowhere
कहीं भी	 anywhere at all
काँटा (m)	 fork; thorn
काँपना	 to shiver; tremble
का/की/के	 (postposition indicating possession)
काग़ज़ (m)	 paper; a piece of paper
काटना	 to cut
काठमांडू (m)	 Kathmandu
कान (m)	 ear
कानपुर (m)	 Kanpur
काफ़ी (f)	 coffee
काफ़ी	 quite; very
काम (m)	 work
कामचोर	 workshy; lazy
कामयाब	 successful
कारण (m)	 reason; cause
कार्यक्रम (m)	 programme
काल (m)	 time; age; period
किंतु	 but
कि	 that; or; when suddenly (conjunction)
कितना	 how much/many
किताब (f)	 book
किधर	 where? whither?
किन	 oblique plural of कौन and of क्या
किनारा (m)	 edge; shore
किराया (m)	 rent; fare
किस	 oblique singular of कौन and of क्या
किसी	 oblique of कोई
किस्मत (f)	 fate
की तरफ़	 towards
की तरह	 like
की बग़ल में	 next to; close by
की वजह से	 because of
कीमत (f)	 price; value; cost
कीमती	 costly; valuable
कुछ	 some; somewhat; something
कुछ और	 something else; some more
कुछ न कुछ	 something or other
कुछ नहीं	 nothing
कुत्ता (m)	 dog
कुर्ता (m)	 kurta; Indian shirt
कुर्सी (f)	 chair
कुली (m)	 porter
कृपया	 please
कृपा (f)	 kindness; grace
कृपा करके	 kindly; please
के अंदर	 inside
के आगे	 in front of; ahead of
के आस-पास	 around; in vicinity of
के ऊपर	 on top of
के कारण	 because of
(के) द्वारा	 by (means of)
के नज़दीक	 near
के नीचे	 beneath; below
के पहले	 before
के पास	near; in (one's) possession
के पीछे	 behind
के बजाय	 instead of
के बाद	 after
के बारे में	 about; concerning
के बाहर	 outside
के बिना	 without
के बीच	 between
के बीच में	 in the middle of
के मारे	 stricken by; through
के लिए	 for
के यहाँ	 at the place of
के समान	 like; equal to
के साथ	 with; in company of
के सामने	 facing; opposite
के सिवा; सिवाय	 apart from
कैमरा (m)	 camera
कैसा	 of what kind; what like; how
को	 to; on; at
कोई	 anyone; someone; some; about; any
कोई और	 someone else
कोई न कोई	 someone or other
कोई नहीं	 no one
कोना (m)	 corner
कोशिश (f)	 attempt
कोशिश करना	 to try
कौन	 who?
कौन कौन	 which various people?
कौनसा/सी/से	 which?
क्या	 what?; question marker
क्यों	 why
क्योंकि	 because
क्लास (f)	 class (in school etc.)
खड़ा	 standing; waiting
ख़त (m)	 letter
ख़त्म	 finished
ख़त्म करना	 to finish
ख़बर (f)	 news; information
ख़याल (m)	 opinion; thought
ख़याल रखना	 to take care of
ख़राब	 bad
ख़रीदना	 to purchase
ख़रीदारी (f)	 buying; shopping
ख़ान मार्केट (m)	 Khan Market (in Delhi)
खाँसना	 to cough
खाट (f)	bedstead; 'cot'
खाना (m)	 food
खाना	 to eat
ख़ाली	 empty; vacant; free
ख़ाली करना	 to vacate
ख़ास	 special; particular
खिड़की (f)	 window
खिलाना	 to give to eat
खिलौना (m)	 toy
खींचना	 to draw; take (photograph)
खुद	 oneself
ख़ुदा (m)	 God
खुदा की कसम	 by God
खुदा जाने	 God knows
खुला	 open
खुश	 happy
खुशी (f)	 happiness; pleasure
खूब	 a lot (of); well
खूबसूरत	 beautiful
खेद (m)	 regret
खेलना	 to play (a game)
खैर	 well; anyway
खोना	 to lose
खोलना	 to open
गंगा (f)	 Ganges
गंदा	 dirty
गंभीर	 serious; profound
गँवाना	 to waste; squander
गप (f); गपशप (f)	 gossip
गरम	 warm; hot
गरमी (f)	 heat; summer
ग़रीब	 poor
गर्व (m)	 pride
ग़लत	 wrong; incorrect
ग़लती (f)	 mistake
गला (m)	 throat; neck
गले लगाना	 to embrace
गली (f)	 lane
गाँव (m)	 village
गाड़ी (f)	 car; train
गाना (m)	 song
गाना	 to sing
गाय (f)	 cow
गाली (f)	 abuse; swearing
गाली देना	 to abuse; swear at
गिरना	 to fall
गिलास (m)	 tumbler (glass or metal)
गीत (m)	 song
गुंडा (m)	 lout; hooligan
गुंडागर्दी (f)	 hooliganism
गुजराती	 Gujarati
गुज़ारना	 to spend (time)
गुजारा (m)	 livelihood; subsistence
गुरु (m)	 teacher; guru
गुस्ताखी (f)	 rudeness; impertinence
गुस्सा (m)	 anger; angry
गृहमंत्री (m)	 home minister
गोद (f)	 lap
गोरा	 fair; white person
गोली (f)	 tablet; pill; bullet
गोश्त (m)	 meat
ग्यारह	 eleven
ग्वालियर (m)	 Gwalior
घंटा (m)	 hour
घंटी (f)	 bell
घटिया	 inferior; low grade
घड़ी (f)	 wristwatch; clock
घना	 dense; thick
घमंड (m)	 pride; arrogance
घर (m)	 house; home
घाट (m)	 (steps at) riverbank
घास (f)	 grass
घुमाना	 to turn; make go round
घुसना	 to enter (forcibly or uninvited)
घूमना	 to tour; roam; turn
घोड़ा (m)	 horse
चटनी (f)	 chutney
चतुर्थ	 fourth; IVth
चपरासी (m)	 peon; orderly
चपाती (f)	 chapatti
चप्पल (f)	 sandal
चम्मच (m)	 spoon
चलना	 to move; walk
चल देना	 to set off
चला आना	 to come back
चला जाना	to go one's way
चलाना	 to drive; to run; manage
चश्मा (m)	 glasses; specs
चाँद (m)	 moon
चाँदी (f)	 silver
चाचा (m)	paternal uncle (father's younger brother)
चाबी (f)	 key
चाय (f)	 tea
चार	 four
चावल (m)	 rice
चाहना	 to want; wish; to be fond of
चाहिए	 (is) needed; should; ought to (with infinitive)
चाहे...चाहे	 whether...or
चिंता (f)	 anxiety; concern
चिट्ठी (f)	 letter; note; chit
चिड़िया (f)	 bird
चिढ़ाना	 to irritate; tease
चिल्लाना	 to shout
चीज़ (f)	 thing
चुकना	 (after verb stem) to have already done
चुनना	 to choose
चुप	 silent
चुप रहना	 to be quiet; shut up
चेहरा (m)	 face; features
चोट (f)	 hurt; injury
चोट लगना	 to get hurt
चोर (m)	 thief
चोरी (f)	 theft; robbery
चोरी करना	 to steal
चौकीदार (m)	 watchman
चौथा	 fourth
चौदह	 fourteen
चौदहवीं	 of lunar month; full moon day
छठा	 sixth
छपना	 to be printed
छह	 six
छाता (m)	 umbrella
छात्र (m)	 student
छात्रवृत्ति (f)	 scholarship
छात्रा (f)	 female student
छुटभैया (m)	 nobody; person of no importance
छुट्टी (f)	 holiday; free time
छुरी (f)	 knife
छूटना	 to depart; to be left; fall back
छूना	 to touch
छेड़ना	 to stir up; start up
छोकरी (f)	 young girl; lass
छोटा	 small; little
छोड़ना	 to leave; abandon; give up
(को) छोड़कर	 apart from; except for
जंगल (m)	 jungle; scrub
जंगली	 wild
जँभाई (f)	 yawn
जँभाई लेना	 to yawn
जगह (f)	 place
जगाना	 to arouse
जनता (f)	 public; the people
जनवरी (f)	 January
जनाब (m)	 sir
जन्म (m)	 birth
जन्म होना	 to be born
जन्मदिन (m)	 birthday
जब	 when
ज़बान (f)	 language; tongue
ज़माना (m)	 period; age; time
ज़मीन (f)	 land
ज़रा	 just; a little
ज़रूर	 of course
ज़रूरत (f)	 need
ज़रूरी	 necessary; urgent
जर्मन	 German
जलना	 to burn
जल्दी	 quickly; soon; early
जवान	 young; youthful; soldier
जवाब (m)	 reply; answer
जवाब देना	 to reply
जहाँ...वहाँ	 where...there
जानना	 to know
जान-बूझकर	 deliberately
जाना-पहचाना	 recognized; well known
जाना	 to go
जानवर (m)	 animal
जापानी	 Japanese
जारी	 current; continuing
जारी रखना	 to maintain
ज़ाहिर	 clear; evident
ज़िंदगी (f)	 life
जितना...उतना	 as much as
ज़िद (f)	 obstinacy
ज़िद्दी	 obstinate; stubborn
जिधर...उधर	 whither...thither
ज़िम्मेदारी (f)	 responsibility
जियरा (m)	 soul; heart (poetic)
जी	 (respect marker; yes)
जी नहीं	 no
जी हाँ	 yes
जी-हुज़ूरी (f)	 sycophancy; flattery
जीना	 to live; be alive
के जीते जी	 during the lifetime of
जीवन (m)	 life
जुकाम (m)	 a cold
जूता (m)	 shoe; pair of shoes
जून (m)	 June
जेब (f)	 pocket
ज़ेवर (m)	 (item of) jewellery
जैसा	 like; such as
जैसा...वैसा	 as...so
जैसे की	 as if; as though
जैसे ही	 as soon as
जो	 (the one) who/which
जो कुछ	 whatever
जो कोई	 whoever
जो भी	 whoever; whatever
जोड़ना	 to add; to save
ज़ोर (m)	 force; strength
ज़्यादा	 much; many; more
ज़्यादा से ज़्यादा	 at the most
ज़्यादातर	 mostly; most
झगड़ा (m)	 quarrel; row
झट से	 suddenly; briskly
झाड़ना	 to spout; pour
झूठ (m)	 lie
झूमना	 to sway
झेंपना	 to be embarrassed
टकराना	 to collide
टपकना	 to drop in; appear unexpectedly
टहलना	 to stroll
ठंड (f)	 cold
ठंडा	 cold
ठग (m)	 swindler; robber
ठहरना	 to stop; wait; stay
ठीक	 all right; exactly
ठीक करना	 to put right; fix
ठीक से	 properly
टुकड़ा (m)	 piece; bit
टूटना	 to break; be broken
टेढ़ा	 twisted; complex
टैक्सी (f)	 taxi
ट्रेकिंग (f)	 trekking
ट्रेन (f)	 train
डर (m)	 fear
डरना	 to fear
डरपोक	 timid
डाँटना	 to scold
डाक (f)	 mail; post
डाकघर (m)	 post office
डाकू (m)	 dacoit; bandit
डाक्टर (m)	 doctor
डायलॉग (m)	 dialogue
डाल (f)	 branch (of tree)
डालना	 to throw; cast; pour
डिगरी (f)	 degree
डिनर (m)	 dinner
डिब्बा (m)	 box; compartment
डूबना	 to sink; drown
डेढ़	 one and a half
ड्राइवर (m)	 driver
ढंग (m)	 way; manner
ढाई	 two and a half
ढूँढना	 to look for; find
ढेर (m)	 pile; heap
दंगा (m)	 riot
दक्षिण (m)	 south
दफ़ा (f)	 time; occasion
दफ़्तर (m)	 office
दबना	 to yield; cower
दया (f)	 compassion
दरबाज़ा (m)	 door
दराज़ (f)	 drawer
दरी (f)	 rug; mat
दर्जन (m)	 a dozen
दर्ज़ी (m)	 tailor
दर्शन (m)	 vision; audience or auspicious meeting
दल (m)	 political party
दस	 ten
दवा (f)	 medicine
दादा (m)	 paternal grandfather
दादी (f)	 paternal grandmother
तंग (phrase: तंग आना)	 narrow (to get fed up)
तंग करना	 to harass)
तक	 up to; as far as; for (in time)
तकलीफ़ (f)	 trouble; distress
तथापि	 nevertheless; even so
तबला (m)	 tabla (drum)
तबियत (f)	 health
तमाशा (m)	 spectacle; show
तमिल	 Tamil
तरफ़ (f)	 side; direction
तरह (f)	 way; manner
तलाक (m)	 divorce
तलाश (f)	 the search
तलाशना	 to search for
तस्वीर (f)	 picture
तहज़ीब (f)	 culture; refinement
ताज महल (m)	 Taj Mahal
ताज़ा	 fresh
तारीख़ (f)	 date
तारीफ़ (f)	 praise
ताला (m)	 lock
तालाब (m)	 pond
ताली (f)	 clapping
तिब्बती	 Tibetan
तीन	 three
तीसरा	 third
तुझ	 oblique of तू
तुम	 you (familiar)
तुम्हारा	 your; yours (from तुम)
तुरंत	 immediately
तुलना	 to be determined (to)
तू	 you (intimate)
तृतीय	 third
तेज़	 quick; rapid; sharp; bright
तेरा	 your; yours (from तू)
तैयार	 ready
तैरना	 to swim
तो	 so; then
तोड़ना	 to break
तोहफा (m)	 a present
थकना	 to be tired
थकान (f)	 tiredness
था/थी/थे/थीं	 was; were
थामना	 to hold; support
थाली (f)	 platter
थैला (m)	 bag; cloth bag
थोड़ा	 a little; a few
दाम (m)	 price
दाल (f)	 daal; lentils
दावत (f)	 (invitation to) a dinner
दास्तान (f)	 tale (poetic)
दाहिना	 right (opposite of left)
दिखना	 to appear; seem
दिखाई देना/पड़ना	 to be visible; appear
दिन (m)	 day (दिन भर
दिल (m)	 heart (दिल लगना
दिलचस्प	 interesting
दिलवाना	 to cause to be given
दिली	 of the heart
दिल्ली (f)	 Delhi
दीखना	 to appear; be visible; seem
दीवार (f)	 wall
दुःख (m)	 grief; pain; suffering
दुकान (f)	 shop
दुकानदार (m)	 shopkeeper
दुनिया (f)	 world
दुबला	 thin (दुबला-पतला
दुबारा	 again; second time
दुर्घटना (f)	 accident
दूध (m)	 milk
दूर	 distant; far; remote
दूरदर्शन (m)	 television; Doordarshan (national TV network)
दूसरा	 other; second
देखना	 to see; look
देखभाल (f)	 supervision; care
देन (f)	 contribution; gift
देना	 to give
देर (f)	 delay; a while
देवनागरी (f)	 Devanagari script
देवर (m)	husband's younger brother
देश (m)	 country
देहान्त (m)	 death; demise
दो	 two
दोनों	 both
दोपहर (f)	 noon; afternoon
दोस्त (m)	 friend
दौड़ना	 to run
द्वारा	 by; by means of
द्वितीय	 second
धंधा (m)	 work; occupation
धन्यवाद (m)	 thank you
धीमा	 low; faint
धुलना	 to be washed
धूमधाम (f)	 pomp; show
धोखा (m)	 trick; deceit
धोना	 to wash
धोबी (m)	 dhobi; washerman
ध्यान (m)	 attention
नंबर (m)	 number
न	"not; is it not so? (also used with commands as ""don't"")"
नज़दीक	 near; nearby
नज़र (f)	 glance; look
नदी (f)	 river
नफ़रत (f)	 hate; dislike
नमक (m)	 salt
नमस्कार (m)	 hello; goodbye
नमस्ते	 hello; goodbye
नमूना (m)	 example; sample; type; specimen
नया (नए; नई)	 new
नरसों	 three days ago/ahead
नर्तक (m)	 dancer
नल (m)	 pipe; tap
नवा	 ninth
नहाना	 to bathe; wash
नहीं	 not (नहीं तो
नाक (f)	 nose
नाचना	 to dance
नापसंद करना	 to dislike
नाम (m)	 name
नामुमकिन	 impossible
नारा (m)	 slogan
नाराज़	 angry; displeased
नाश्ता (m)	 breakfast
निंदा (f)	 blame; speaking ill
निकलना	 to come/go out; emerge
निकालना	 to extract; bring out; discover
निन्‍यानवे	 ninety-nine
निबंध (m)	 essay
निराशा (f)	 disappointment; despair
निवेदन (m)	 request
निहायत	 extremely
नींद (f)	 sleep
नीचे	 below; down; downstairs
नुकसान (m)	 harm
नृत्य (m)	 dance
नेक	 good; virtuous; decent
नेता (m)	 leader; politician
नेपाल (m)	 Nepal
नेपाली	 Nepali
